Class_Name,Class_ID,Accuracy,Precision,Recall,F1-Score
BD30,0,0.060344828,0.155555556,0.060344828,0.086956522
BD33,1,0.071428571,0.095890411,0.071428571,0.081871345
BD39,2,0.903225806,0.75,0.903225806,0.819512195
BD49,3,0.317757009,0.201183432,0.317757009,0.246376812
BD51,4,0.54368932,0.254545455,0.54368932,0.346749226
BD52,5,0.240384615,0.211864407,0.240384615,0.225225225
BD56,6,0.120689655,0.269230769,0.120689655,0.166666667
BD57,7,0.028846154,0.230769231,0.028846154,0.051282051
BD70,8,0.071428571,0.28,0.071428571,0.113821138
BD72,9,0.380952381,0.533333333,0.380952381,0.444444444
BD75,10,0.111111111,0.128205128,0.111111111,0.119047619
BD76,11,0.75,0.681818182,0.75,0.714285714
BD79,12,0.553191489,0.178694158,0.553191489,0.27012987
BD85,13,0,0,0,0
BD87,14,0.434782609,0.353982301,0.434782609,0.390243902
BD91,15,0.409090909,0.184615385,0.409090909,0.254416961
BD93,16,0.453608247,0.202764977,0.453608247,0.280254777
BD95,17,0.648351648,0.385620915,0.648351648,0.483606557
BR22,18,0.052631579,0.138888889,0.052631579,0.076335878
BR23,19,0.80733945,0.611111111,0.80733945,0.695652174
BRRI102,20,0.0625,0.285714286,0.0625,0.102564103
BRRI67,21,0.057692308,0.3,0.057692308,0.096774194
BRRI74,22,0,0,0,0
Binadhan10,23,0.288888889,0.634146341,0.288888889,0.396946565
Binadhan11,24,0.8,0.555555556,0.8,0.655737705
Binadhan12,25,0.029126214,0.3,0.029126214,0.053097345
Binadhan14,26,0,0,0,0
Binadhan16,27,0.494623656,0.31292517,0.494623656,0.383333333
Binadhan17,28,0.483146067,0.344,0.483146067,0.401869159
Binadhan19,29,0.824742268,0.963855422,0.824742268,0.888888889
Binadhan20,30,1,1,1,1
Binadhan21,31,0.318181818,0.291666667,0.318181818,0.304347826
Binadhan23,32,0.477777778,0.294520548,0.477777778,0.36440678
Binadhan24,33,0.211538462,0.366666667,0.211538462,0.268292683
Binadhan25,34,0.53125,0.53125,0.53125,0.53125
Binadhan26,35,0.231481481,0.337837838,0.231481481,0.274725275
Binadhan7,36,0.440366972,0.305732484,0.440366972,0.360902256
Binadhan8,37,0.462962963,0.247524752,0.462962963,0.322580645
